"B"	"CD8T"	"Ductal"	"Endothelial"	"Fibroblasts"	"Mono/Macro"
"Bulk_43"	0.291980556362916	0.287580790859862	0.0721610577432177	0.0542560064219547	0.122977056822064	0.171044531789987
"Bulk_44"	0.288658582803037	0.283064223444451	0.0690575090087228	0.0565798416886556	0.13724457320396	0.165395269851174
"Bulk_45"	0.300855258684418	0.294848900076948	0.0652625221368552	0.0534481704847447	0.125545019241201	0.160040129375833
"Bulk_46"	0.297509707894462	0.291950701969469	0.0688735750701925	0.0554605715425078	0.119707090065081	0.166498353458287
"Bulk_47"	0.285362701156492	0.280529680994919	0.0722373866735701	0.0578196555878881	0.134386172889325	0.169664402697806
"Bulk_48"	0.29648150153307	0.290750164987228	0.0678359194280748	0.0557272888851481	0.12583985915115	0.163365266015329
"Bulk_49"	0.300174242708736	0.294459218974337	0.0677533900508077	0.0535969323128819	0.119318561526074	0.164697654427163
"Bulk_50"	0.282059575239237	0.277120755592901	0.0757498745585786	0.060891714859123	0.128632658412606	0.175545421337554
"Bulk_51"	0.284659666852058	0.279693644758467	0.0761464597930382	0.060162305922586	0.122383161316003	0.176954761357848
"Bulk_52"	0.290833658682897	0.285311702485396	0.0708302562355703	0.0573202824546466	0.127084582090942	0.168619518050548
"Bulk_53"	0.28550912511184	0.280402239044837	0.0748422956341939	0.0595518543400892	0.124870394103563	0.174824091765477
"Bulk_54"	0.301934580207078	0.296055836636037	0.0677949708998813	0.054006554753577	0.113934080676502	0.166273976826925
"Bulk_55"	0.295630466744431	0.289759712266006	0.0705274295777977	0.0560117776206048	0.118392841315311	0.16967777247585
"Bulk_56"	0.292882006799316	0.287432793459392	0.0705276488306524	0.0562412160109389	0.124290658058291	0.168625676841409
"Bulk_57"	0.298857110511923	0.293036815974739	0.0683099171380783	0.0547847884038022	0.119670722128148	0.165340645843309
"Bulk_58"	0.288561434912112	0.283346862513638	0.073933686061606	0.0592413239764309	0.12183738802359	0.173079304512623
"Bulk_59"	0.285224475651864	0.280259873267576	0.0740897819535354	0.0583594506085921	0.127981258933959	0.174085159584473
"Bulk_60"	0.28973353869338	0.284334185804261	0.0732023532419542	0.0588056596926097	0.121654142135727	0.172270120432068
"Bulk_61"	0.288906899142785	0.284618216050574	0.0685665508408351	0.0569484434997678	0.137307482667658	0.16365240779838
"Bulk_62"	0.293047878485369	0.28761073821388	0.0699954688605189	0.0559356760130676	0.12576410854805	0.167646129879114
"Bulk_63"	0.282867491995115	0.277946372260582	0.0741351285452207	0.0600842342221215	0.132700438929845	0.172266334047116
"Bulk_64"	0.299129858304749	0.292970934288983	0.0689574355311378	0.0552658724200582	0.116161443191825	0.167514456263247
"Bulk_65"	0.294826162739942	0.289223868985694	0.0669933149758066	0.0550085079359554	0.132111421640796	0.161836723721806
"Bulk_66"	0.289474061117335	0.284292781872556	0.0728420794319995	0.0587043861876935	0.123626030564756	0.171060660825659
"Bulk_67"	0.301183563630258	0.294663245699951	0.0637386115825986	0.0527936400024005	0.129375819323812	0.15824511976098
"Bulk_68"	0.28876855567045	0.283715670840229	0.073404687421869	0.0580928745073097	0.123350122574709	0.172668088985434
"Bulk_69"	0.286567706870968	0.281475599537587	0.074319647890903	0.0600364845822405	0.124468063683454	0.173132497434847
"Bulk_70"	0.29411802607089	0.288684218165651	0.0689903545346542	0.0555853841467901	0.126933282586454	0.16568873449556
"Bulk_71"	0.282557419077167	0.277744430938506	0.0745409151376791	0.0597712866577288	0.131867036407168	0.17351891178175
"Bulk_72"	0.305093347436211	0.299223808074935	0.0645670985248655	0.0517701672182882	0.119773159082526	0.159572419663174
"Bulk_73"	0.285427907299088	0.280358553347197	0.0736476384836665	0.0596102027117803	0.128815426680823	0.172140271477445
"Bulk_74"	0.293686556981667	0.288056751531239	0.0682466505760438	0.0553319376718625	0.130087250232338	0.16459085300685
"Bulk_75"	0.300076956669051	0.29421207618598	0.0682686706236683	0.0539629788156315	0.117312064490895	0.166167253214773
"Bulk_76"	0.288669490831637	0.283451458137772	0.0726074672813309	0.0579987389208469	0.12592393642615	0.171348908402263
"Bulk_77"	0.284777707919361	0.279661629554417	0.0751563702939386	0.0604042711012275	0.124860662297622	0.175139358833434
"Bulk_78"	0.290006837547492	0.284850419431708	0.0712030982553839	0.0572869714064513	0.128074436847804	0.168578236511161
"Bulk_79"	0.289475800778452	0.284228565721542	0.0720062520200978	0.0574600174322018	0.127014615374081	0.169814748673625
"Bulk_80"	0.281900542810118	0.277121669241016	0.0741444864277614	0.0600753664384046	0.134611120942979	0.172146814139721
"Bulk_81"	0.298741256775439	0.292913805912911	0.0686278355539335	0.0554324136712224	0.118928895177231	0.165355792909263
"Bulk_82"	0.288708991941546	0.283609586939034	0.0733854301399183	0.0585272564617209	0.12338240215099	0.172386332366791
"Bulk_83"	0.280940582587091	0.276379509804766	0.0756463047437694	0.0596937939982292	0.132886627967786	0.174453180898358
"Bulk_84"	0.281122313974546	0.276523138467404	0.0758838750534129	0.0597707737733156	0.129821469116028	0.176878429615294
"Bulk_85"	0.305443934129351	0.299151500580818	0.0644251672982872	0.0519113049740939	0.119143210207652	0.159924882809798
"Bulk_86"	0.289273355333469	0.283886492223692	0.0706280595662547	0.0577111434731072	0.130051222378677	0.1684497270248
"Bulk_87"	0.295911608036145	0.290157601957156	0.0697784974930301	0.0563300549568478	0.120637402104673	0.167184835452149
"Bulk_88"	0.280651179421743	0.276137709910207	0.073393630979177	0.0595416079465501	0.139743755555019	0.170532116187304
"Bulk_89"	0.288230052505964	0.283115957520166	0.0703738327309392	0.0566788412324052	0.134811348935262	0.166789967075264
"Bulk_90"	0.28823786243205	0.282405450860629	0.0709146692271705	0.0574625569147495	0.131409507846882	0.16956995271852
"Bulk_91"	0.290142251821887	0.284728764236812	0.0715299776459196	0.0574514562606693	0.126636561719577	0.169510988315136
"Bulk_92"	0.289275191248807	0.28411382066053	0.0742866943254322	0.0589319799940131	0.119245785043599	0.174146528727619
"Bulk_93"	0.299678281514887	0.293778791579052	0.0682473069475594	0.0544030758833544	0.116137438968911	0.167755105106237
"Bulk_94"	0.290695194919517	0.28496454186174	0.0728863219893797	0.0588974840755178	0.120301285685367	0.172255171468478
"Bulk_95"	0.30667720902956	0.300508245787432	0.0641636131957861	0.0525821072864169	0.115754360393998	0.160314464306807
"Bulk_96"	0.283691033486071	0.278524541404786	0.0735400638555502	0.060053421795933	0.132447153005532	0.171743786452128
"Bulk_97"	0.295573318862084	0.289865481193967	0.0699010000989538	0.0566989914067531	0.120550182348922	0.167411026089321
"Bulk_98"	0.317732723797294	0.310303206252731	0.0577718349638483	0.0479485653192694	0.115459094509217	0.15078457515764
"Bulk_99"	0.291808025522876	0.286534369170843	0.0702848650779345	0.0559481377482982	0.127439657553989	0.167984944926059
"Bulk_100"	0.289972559766808	0.284423033263481	0.0708942221595369	0.0579824280170288	0.128629116224682	0.168098640568464
